id,tweet,subtask_a,tweet_cleaned
15923,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL",OFF,democrats support antifa muslim brotherhood ms13 isis pedophilia child trafficking taxpayer funded abortion’s election fraud sedition and treason    ⁦
27014,"#ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it.",NOT,is revered by conservatives hated by progressivessocialistdemocrats that want to change it
30530,"#FOXNews #NRA #MAGA #POTUS #TRUMP #2ndAmendment #RNC #USMC #veterans @USER    @USER @USER @USER @USER   #fakereporting #THESWAMP #dnc #liberals @USER @USER #fakeoutrage @USER  First, it reduces the ca URL",NOT,first it reduces the ca
13876,#Watching #Boomer getting the news that she is still up for parole always makes me smile. #Wentworth Finale...@USER is such a treasure. URL,NOT,getting the news that she is still up for parole always makes me smile  finale is such a treasure
60133,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL,OFF,unity demo to oppose the farright in  –   — enough is enough
83681,. . . What the fuck did he do this time?,OFF,what the fuck did he do this time
96874,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑,NOT,is a form of art used to express yourself freely it does not gv the green light or excuse the behavior of acting like an animal she is not in the streets of the bx where violence is a way of living elevate yourself boo and get on  level for longevity
65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,OFF,do you get the feeling he is kissing  behind so he can humiliate him later
78910,5 Tips to Enhance Audience Connection on Facebook URL @USER #socialmedia #smm URL,NOT,5 tips to enhance audience connection on facebook
46363,#BiggBossTamil janani won the task. She is going to first final list👏👏👏👏,NOT,janani won the task she is going to first final list
68123,#Conservatives - the party of low taxation 😂 #Tories #Tory URL,NOT,the party of low taxation
22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +",NOT,the nord cannot make a single move but he is fully aware of what is happening a chill comes down his spine as a ghostly rather   calm female voice called for him from a corner of the room  before he even has time to attempt a response
15565,#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!,NOT,the place for fed up conservatives
64376,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,NOT,when you are awake you see clearly   check out this video
12588,@USER Nigga ware da hits at,OFF,nigga ware da hits at
34263,#StopKavanaugh he is liar like the rest of the #GOP URL,OFF,he is liar like the rest of the
65773,#Dayspromo week of September 17th #days #dool  A coma does things to a gal . Sami: You are going to be ok. Hattie: No thanks to you.  Get her out of here. Before she finishes me off.  Hattie pretends to be Marlena.  The look on Kayla face is priceless. URL,NOT,week of september 17th    a coma does things to a gal  sami you are going to be ok hattie no thanks to you  get her out of here before she finishes me off  hattie pretends to be marlena  the look on kayla face is priceless
95457,#BiggBossTelugu2 Let’s all include @USER in all our tweets...he is the business head of Star Maa network..don’t know if he knows about biggboss team and host hurting audience emotions  #BiggBossTelugu2,NOT,let’s all include  in all our tweetshe is the business head of star maa networkdon’t know if he knows about biggboss team and host hurting audience emotions
24930,"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL",NOT,kills neighbor in his own apartment what went wrong seeofficer who shot man in his own apartment was involved in 2017 shooting of a suspect “she is devastatedsaid a dallas police officer adds she is so so sorry for his family
15938,Always smack URL,NOT,always smack
45712,"#BREAKING: After a week-long trial, a Linn County jury convicted Gregory Davis of First-Degree Murder in connection with the Carrie Davis homicide that took place almost a year ago. URL URL",NOT,after a weeklong trial a linn county jury convicted gregory davis of firstdegree murder in connection with the carrie davis homicide that took place almost a year ago
70840,#Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org. that supports BLM Antifa etc. Unbeievable!,NOT,so a wild claim from 36 years ago of groping has evolved into a rape a violent sexual event by move  a soros based org that supports blm antifa etc unbeievable
53563,"#kznlt Enjouji really is the prototype of my character brand, he is nothing but things that I love all rolled into one horrible package and fed directly into baby me's subconscious.",NOT,enjouji really is the prototype of my character brand he is nothing but things that i love all rolled into one horrible package and fed directly into baby mes subconscious
59432,#SilsilaBadallteRishtonKa tag is filled with appreciation of @USER only....   Never watched this serial but I always wanted appreciation for Aditi... She is underrated since starting of the show... She is worth of all this appreciation.. 👏👏👏,NOT,tag is filled with appreciation of  only   never watched this serial but i always wanted appreciation for aditi she is underrated since starting of the show she is worth of all this appreciation
21454,#Beto #BetoForSenate #BetoORourke #BetoforTX  Willie Nelson laughs at conservatives who are upset with him. URL,NOT,willie nelson laughs at conservatives who are upset with him
83155,#HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!,NOT,damn matt hardy and randy orton put on one hell in a cell match woooo i hope he is okay
69576,@USER School shootings aren't controversial. Wanting gun control is.,NOT,school shootings arent controversial wanting gun control is
49139,"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""",OFF,put delauro in a police lineup identifying the bag lady  she would be picked everytime she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy no one votes for a woman that gross
76669,@USER *coffee spit* Spartacus moment?  He never saw the film...,NOT,coffee spit spartacus moment  he never saw the film
58995,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!",OFF,all familyfriends  do not tell me  bad shit that your bfgf did to you just to go right back to them
88490,#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL,OFF,is your  accuser  try this every time
