id,tweet,subtask_c,tweet_cleaned,subtask_c_ii,subtask_c_iii
15923,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL",OTH,democrats support antifa muslim brotherhood ms13 isis pedophilia child trafficking taxpayer funded abortion’s election fraud sedition and treason    ⁦,OTH,OTH
60133,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL,GRP,unity demo to oppose the farright in  –   — enough is enough,OTH,GRP
83681,. . . What the fuck did he do this time?,IND,what the fuck did he do this time,IND,
65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,OTH,do you get the feeling he is kissing  behind so he can humiliate him later,OTH,OTH
34263,#StopKavanaugh he is liar like the rest of the #GOP URL,IND,he is liar like the rest of the,IND,
49139,"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""",IND,put delauro in a police lineup identifying the bag lady  she would be picked everytime she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy no one votes for a woman that gross,IND,
58995,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!",GRP,all familyfriends  do not tell me  bad shit that your bfgf did to you just to go right back to them,OTH,GRP
88490,#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL,IND,is your  accuser  try this every time,IND,
46444,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.",IND,is that serious holy shit please your fucking assholes dont blame someone for the death of other one she is sad enough for today dont you see it isnt fault of none he had an overdose and died end stop wanting someone to blame fuckers,IND,
60587,@USER How is she hiding her ugly personality. She is the worst.,IND,how is she hiding her ugly personality she is the worst,IND,
44546,@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But don’t worry about the actual crime.  The pic of black guns is worse.,GRP,i’m shocked to learn human traffickers had guns  some probably illegal too  ca needs more gun control  but don’t worry about the actual crime  the pic of black guns is worse,OTH,GRP
51628,#Conservatives @USER - You're  a clown!  URL,IND,youre  a clown,IND,
40110,#Kids Beating #Paraplegic #Trump #Boy!  #Left Teach Their #Children Hate Violence!  #schools #teachers #Democrats #Liberals #WalkAway #Moms #Mother #NEA #teachthemyoung #Christian #Catholic #Jews #Evangelicals #family #BlackWomen #BlackTwitter #Blacks #News #Media #Disabled #MAGA URL,GRP,beating      teach their  hate violence,OTH,GRP
15998,*gets all the bitches*,OTH,gets all the bitches,OTH,OTH
96457,#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL,GRP,take note of how to protest with civility   this is why socialism aka communism will never win it is inherently evil and unsustainable,OTH,GRP
70841,@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,IND,omg is he for real  this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i,IND,
