id,tweet,subtask_a,subtask_b,subtask_c,subtask_c_ii,subtask_c_iii,tweet_cleaned
86426,@USER She should ask a few native Americans what their take on this is.,OFF,UNT,,,,she should ask a few native americans what their take on this is
90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF,TIN,IND,IND,,go home you’re drunk
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT,,,,,amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF,UNT,,,,someone shouldvetaken this piece of shit to a volcano
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT,,,,,obama wanted liberals  illegals to move into red states
97670,@USER Liberals are all Kookoo !!!,OFF,TIN,OTH,OTH,OTH,liberals are all kookoo
77444,@USER @USER Oh noes! Tough shit.,OFF,UNT,,,,oh noes tough shit
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF,TIN,GRP,OTH,GRP,was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism
45157,@USER Buy more icecream!!!,NOT,,,,,buy more icecream
13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF,TIN,IND,IND,,canada doesn’t need another cuck we already have enough   fking up our great country
82776,@USER @USER @USER It’s not my fault you support gun control,NOT,,,,,it’s not my fault you support gun control
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT,,,,,what’s the difference between  and    one of these men admitted to groping a 15 year old girl years ago  the other is going to be  to the scj
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF,TIN,IND,IND,,you are a lying corrupt traitor nobody wants to hear anymore of your lies
54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT,,,,,it should scare every american  she is playing hockey with a warped puck
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT,,,,,i like my soda like i like my boarders with a lot of ice
86735,@USER you are also the king of taste,NOT,,,,,you are also the king of taste
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT,,,,,sing like no one is listening   love like youve never been hurt   vote gop when no one is watching    and dont listen to liberals dirt
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT,,,,,55  the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason”
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT,,,,,besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show
28195,@USER @USER @USER gun control! That is all these kids are asking for!,OFF,TIN,OTH,OTH,OTH,gun control that is all these kids are asking for
56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,OFF,TIN,IND,IND,,lol   throwing the bullshit flag on such nonsense
67757,@USER @USER You are correct.,NOT,,,,,you are correct
12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF,TIN,GRP,OTH,GRP,kind of like when conservatives wanna associate everyone to their left as communist antifa members
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,OFF,TIN,GRP,OTH,GRP,da fuck is going on people   theres the mens room and the womens room  pick one and stick w it
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT,,,,,been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious  could you give some specifics
77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF,TIN,IND,IND,,tbh these days i just dont like people in general i just dont connect with people these days just a annoyance
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT,,,,,south korean official “leaders will discuss specific denuke measures in pyongyang”
74932,@USER @USER You can tell he is a hooper too,NOT,,,,,you can tell he is a hooper too
91252,@USER I feel like he is better chasing the title,NOT,,,,,i feel like he is better chasing the title
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,OFF,UNT,,,,she  to whom are you referring to  hillary  you know what is tiresome  bernie supporters bashing hillary clinton  she is an actual democrat who raises money for the democratic party and doesn’t bash them  she has a positive message  so who is dividing the left
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT,,,,,glad to see your friends are supporting metis rights as much as you are supporting zionists
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT,,,,,yes you are but i was asking what is it about the movie
12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF,TIN,GRP,OTH,GRP,the only thing the democrats have is lying and stalling to stop trump from being   what have they done for you lately
13017,@USER No wonder he is being apologetic and more social these day....,NOT,,,,,no wonder he is being apologetic and more social these day
18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,NOT,,,,,any updates re ending your blatant  as    proves you are
70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,NOT,,,,,do you know what’s going to happen now  i’m going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa
12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,OFF,TIN,IND,IND,,you are not very smart are you why do you think gen flynn’s sentencing keeps being rescheduled
14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,OFF,TIN,GRP,OTH,GRP,thats expected if you placate the violent leftiststerrorists
74358,@USER Blow hard,NOT,,,,,blow hard
82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,NOT,,,,,that means you are a max lvl twitter user and maybe should try a new game
40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",NOT,,,,,please explain what controlled opposition means  as for bernier escaping he split with the rest of the conservatives because hes even more racist and exclusionary than they want to be
78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,NOT,,,,,socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem
66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,NOT,,,,,3 nina  one of the reasons i didnt read this book for so long was because i was so worried about her character i shouldve trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect
70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,NOT,,,,,please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him     matters
36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",NOT,,,,,ppl who say im not racist are racist you are a racist repeat after me
29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,NOT,,,,,kathy the patriot  you have to love our great president trump  a spine of us steel changing it on trade  everything for americans
74477,@USER Wow you liberals really don’t have a sense of humor.🙄,NOT,,,,,wow you liberals really don’t have a sense of humor
49845,@USER I'M SO FUCKING READY,NOT,,,,,im so fucking ready
32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,NOT,,,,,holy moly if the catholic people havent been awakened by this
77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,,,,,lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc
73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,NOT,,,,,what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but its not gunna happen
47311,@USER Me too! Her wedding was the best! She is very pretty!,NOT,,,,,me too her wedding was the best she is very pretty
48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,NOT,,,,,no conflict here—don’t look at this   involved in violent left agenda of antifa also
75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,NOT,,,,,any of your announcements every come to fruition or is it basically stealing labours ideas to get a few more votes
84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,OFF,TIN,GRP,OTH,GRP,4 out of 10 british people are basically fullon racists 4 out of 10 voters vote for the conservatives coincidence
10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,NOT,,,,,advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a
43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,NOT,,,,,hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material
98992,@USER Fuck off,OFF,TIN,IND,IND,,fuck off
92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,NOT,,,,,certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities  i’d like to know if the black population that suffers the most shares her opinion
33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",OFF,TIN,OTH,OTH,OTH,the prison system is so fucked  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like 500 inmates went missing
75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,OFF,TIN,IND,IND,,she is useless  attempts to do the right thing but never follows through
96218,#WalkAway liberals......Your party is POISON. URL,NOT,,,,,liberalsyour party is poison
57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,OFF,TIN,IND,IND,,grateful trump doesn’t have a dog in the white house he is a cruel man
20883,@USER You are lying. Stick with the facts. We pay more than that now.,NOT,,,,,you are lying stick with the facts we pay more than that now
74831,@USER Trump kicks dem butt - its so fun.,OFF,TIN,IND,IND,,trump kicks dem butt  its so fun
53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,OFF,TIN,IND,IND,,he is dumb and dumber all in one president  its a two for one
28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,NOT,,,,,minister  attempted to expense £50 charity donation its what   do
42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,NOT,,,,,ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for
84664,@USER And this from the clown that should be in prison?,OFF,TIN,IND,IND,,and this from the clown that should be in prison
